Geneid	wt_R1	wt_R2	mu_R1	mu_R2
FGRRES_11727_M	1	0	0	0
FGRRES_00242_M	0	1	1	1
FGRRES_11728	0	0	0	0
FGRRES_00243	3096	3383	3220	2934
FGRRES_11729	1328	1250	697	566
FGRRES_11730	8	3	15	14
FGRRES_11731	460	407	358	321
FGRRES_00245	573	390	411	347
FGRRES_00246	43	63	91	79
FGRRES_00247	155	95	210	205
FGRRES_11732	12	7	11	7
FGRRES_15717	2641	2608	2166	1717
FGRRES_00249	261	233	165	145
FGRRES_15718	291	277	175	194
FGRRES_00251_M	328	337	31	29
FGRRES_00252	179	112	116	96
FGRRES_00253	2	1	0	1
FGRRES_00254	5	0	7	5
FGRRES_11735	0	0	0	0
FGRRES_00255	6	5	32	32
FGRRES_00256	1342	973	1070	805
FGRRES_00257	930	967	250	228
FGRRES_00258	53	26	13	4
FGRRES_00259	494	437	326	256
FGRRES_00260	2124	1999	4262	3240
FGRRES_00261	1302	1484	805	764
FGRRES_00262_M	30	37	25	21
FGRRES_00263	898	954	545	425
FGRRES_00264	750	700	249	206
FGRRES_00265	78	65	51	35
FGRRES_00266	229	232	115	115
FGRRES_00267	8	10	4	6
FGRRES_00268	40	42	21	19
FGRRES_11736	30	35	14	26
FGRRES_00269	1132	1145	866	905
FGRRES_00270	1684	1721	665	569
FGRRES_15005	22	20	44	39
FGRRES_11737	0	0	1	0
FGRRES_11738	2	4	2	5
FGRRES_00271	2225	1947	1464	1281
FGRRES_00272	217	203	86	87
FGRRES_15719	13	7	4	5
FGRRES_15720	155	142	34	16
FGRRES_11739	6	4	8	12
FGRRES_00274	27	38	17	30
FGRRES_00275_M	476	348	357	251
FGRRES_00276	1146	1044	928	850
FGRRES_15721	1533	1659	2850	2845
FGRRES_00278	80	73	29	29
FGRRES_00279	1134	1083	770	700
FGRRES_11740	8	5	3	8
FGRRES_00280_M	447	414	218	169
FGRRES_00281	623	537	295	302
FGRRES_15057	4	1	0	2
FGRRES_15722	862	770	673	553
FGRRES_15723	228	153	157	107
FGRRES_00283	718	592	414	306
FGRRES_00284	250	232	109	110
FGRRES_15058	3	0	0	1
FGRRES_00285	3463	3171	4348	4196
FGRRES_11741	481	522	827	709
FGRRES_00286	4381	4657	2571	2143
FGRRES_00287	145	141	109	100
FGRRES_00288	189	159	259	255
FGRRES_15724	810	820	557	545
FGRRES_15725	5598	4496	6994	6044
FGRRES_11743	272	251	147	126
FGRRES_00291	244	240	205	192
FGRRES_00292	1300	1504	295	265
FGRRES_00293	2513	2227	1867	1523
FGRRES_00294	1329	1194	1274	1137
FGRRES_00295	210	177	127	76
FGRRES_00296	2287	2420	6353	6746
FGRRES_00297	1123	1109	588	471
FGRRES_00298	1133	1049	768	732
FGRRES_20008	8	7	8	7
FGRRES_00299	8337	8384	4244	3756
FGRRES_00300	3184	3490	2303	2044
FGRRES_00301	2445	2244	1733	1428
FGRRES_00302	663	656	451	360
FGRRES_00303	647	548	458	356
FGRRES_00304	984	903	682	485
FGRRES_00305	838	917	317	246
FGRRES_00306	1179	1161	764	596
FGRRES_00307	682	545	502	373
FGRRES_00308	1761	1807	1214	1090
FGRRES_00309	340	327	193	174
FGRRES_00310	2692	2633	1803	1471
FGRRES_15726	217	189	123	90
FGRRES_00312	488	518	46	60
FGRRES_00313	202	179	101	83
FGRRES_11744	30	24	26	27
FGRRES_00314	6930	6888	6952	6777
FGRRES_15727	64	54	35	34
FGRRES_15728	3	5	5	1
FGRRES_00316	1594	1512	1355	1268
FGRRES_00317	1242	1210	635	525
FGRRES_00318	335	297	117	68
FGRRES_00319	135	134	83	88
FGRRES_00320	276	237	136	133
FGRRES_00321	230	203	163	157
FGRRES_00322_M	1341	1143	807	661
FGRRES_00323	396	442	299	210
FGRRES_00324	2445	2158	2035	1525
FGRRES_00325	83	108	74	56
FGRRES_00326_M	175	122	121	87
FGRRES_00327	1630	1528	938	772
FGRRES_00328	623	576	256	217
FGRRES_00329	321	294	186	184
FGRRES_00330	452	451	306	305
FGRRES_15729_M	3624	3223	1505	1416
FGRRES_00331	555	374	365	329
FGRRES_00332	947	794	493	403
FGRRES_00333	713	607	379	332
FGRRES_00334	197	179	57	54
FGRRES_00335	1083	1119	1137	1095
FGRRES_00336	81	61	70	58
FGRRES_00337	1425	1243	1082	898
FGRRES_00338	7357	7476	14459	14224
FGRRES_11746	8	4	3	2
FGRRES_15063	101	109	289	243
FGRRES_11747	87	78	280	259
FGRRES_00339	886	963	431	394
FGRRES_00340	249	249	146	89
FGRRES_11748	175	140	171	155
FGRRES_15730_M	4423	4099	8976	8860
FGRRES_20009	198	151	323	283
FGRRES_15064	152	152	176	200
FGRRES_11751	2	1	9	1
FGRRES_11752_M	3	0	0	2
FGRRES_00342	247	246	56	41
FGRRES_00343	1922	2052	1170	1076
FGRRES_00344_M	12	8	2	2
FGRRES_00345	168	147	211	233
FGRRES_11753	49	46	87	72
FGRRES_00346_M	1924	2073	1437	1289
FGRRES_00347	41	25	5859	4588
FGRRES_00348	13019	11995	44	36
FGRRES_00349	926	867	573	554
FGRRES_00350	2716	2678	2006	1803
FGRRES_00351_M	449	437	681	697
FGRRES_00352	2375	2220	1492	1259
FGRRES_00353	794	793	428	392
FGRRES_00354	217	247	167	172
FGRRES_15065	3	4	1	0
FGRRES_00355	1796	1313	1837	1674
FGRRES_11754	514	476	209	163
FGRRES_11755	613	585	317	335
FGRRES_00357	140	110	72	53
FGRRES_00358	698	652	377	302
FGRRES_00359	1044	911	707	565
FGRRES_00360_M	297	268	177	161
FGRRES_00361	481	447	333	247
FGRRES_11756	84	80	60	65
FGRRES_00362	390	425	184	158
FGRRES_00363	588	498	290	270
FGRRES_00364	954	793	648	535
FGRRES_00365	1017	1081	1194	1212
FGRRES_11757	359	249	14350	13408
FGRRES_15732	2090	2079	1475	1287
FGRRES_00367	1271	1170	831	617
FGRRES_15733	1241	1237	852	684
FGRRES_11758	7	2	1	4
FGRRES_11759	3	1	2	1
FGRRES_00369	614	591	540	506
FGRRES_00370	344	332	227	184
FGRRES_00371	1096	938	838	688
FGRRES_00372	613	541	90	84
FGRRES_00373	2777	3158	1787	1639
FGRRES_00374	2221	2191	2468	2446
FGRRES_00375	250	224	413	415
FGRRES_00376	1874	2088	1034	954
FGRRES_00377	169	171	107	89
FGRRES_00378	1214	1206	951	801
FGRRES_00379	49	40	20	15
FGRRES_00380	941	797	841	745
FGRRES_00381	23	10	173	167
FGRRES_15734	3186	2969	2555	2288
FGRRES_00383	63	70	56	42
FGRRES_00384	28	36	56	35
FGRRES_00385	9466	8792	6445	5733
FGRRES_15735	1473	1258	962	884
FGRRES_00387	3963	4426	2358	2281
FGRRES_00388	301	280	221	246
FGRRES_00389	630	658	137	90
FGRRES_00390	1010	1068	1163	1106
FGRRES_15736	0	0	0	3
FGRRES_00391	2983	2372	3162	2816
FGRRES_00392	287	207	42	48
FGRRES_15067	2	1	2	0
FGRRES_00393	882	969	760	661
FGRRES_00394	2478	1987	2627	1964
FGRRES_00395	6667	7436	2830	2659
FGRRES_15737	469	449	438	308
FGRRES_00397	2159	2254	1579	1457
FGRRES_00398	859	841	242	189
FGRRES_00399	587	606	263	183
FGRRES_15738_M	743	583	333	287
FGRRES_00402	209	208	102	72
FGRRES_15739	1317	1177	846	717
FGRRES_00404	1354	1198	1522	1483
FGRRES_11761	3	7	1	3
FGRRES_00405	963	847	1679	1564
FGRRES_00406	179	205	84	92
FGRRES_00407	631	584	418	374
FGRRES_20010	0	5	3	0
FGRRES_11762	70	81	58	62
FGRRES_11763_M	154	125	85	57
FGRRES_11764	16	18	4	8
FGRRES_00408	1554	1446	970	855
FGRRES_00409	4573	4108	3358	2702
FGRRES_00410	1254	1142	885	753
FGRRES_00411	250	214	137	108
FGRRES_00412	1160	942	186	165
FGRRES_00413	405	348	93	92
FGRRES_00414	528	493	332	295
FGRRES_00415	1991	2166	1752	1694
FGRRES_00416	191	210	462	393
FGRRES_00417	446	404	241	235
FGRRES_00418	708	657	523	474
FGRRES_00419	418	330	288	230
FGRRES_15740	400	404	239	199
FGRRES_00421	5183	5844	1842	1636
FGRRES_15068	2	2	1	0
FGRRES_00422	254	200	23	10
FGRRES_00423	48	35	35	34
FGRRES_17600	446	371	348	279
FGRRES_00424	2248	2404	930	904
FGRRES_00425	496	434	647	613
FGRRES_00426	518	474	438	427
FGRRES_00427	26	41	30	27
FGRRES_00428	826	773	510	377
FGRRES_00429	1558	1501	1161	882
FGRRES_00430	1302	1389	742	669
FGRRES_00431_M	1285	1279	984	822
FGRRES_20011	320	307	246	217
FGRRES_00432	0	0	0	1
FGRRES_00433	4428	3954	2869	2399
FGRRES_00434	7292	8405	20045	19599
FGRRES_11766	14	15	34	29
FGRRES_00435	1165	1088	1051	856
FGRRES_00436	522	469	130	85
FGRRES_00437	1221	1098	841	720
FGRRES_11767	3	0	11	6
FGRRES_00438	2701	2327	3268	3207
FGRRES_00439	431	407	314	287
FGRRES_00440	95	103	83	45
FGRRES_00441	279	252	176	180
FGRRES_00442	568	411	809	582
FGRRES_00443	192	197	85	88
FGRRES_00444	1236	1213	291	260
FGRRES_20012	1	1	6	3
FGRRES_15741	2898	2935	3107	3255
FGRRES_00446	294	265	126	150
FGRRES_00447	608	606	476	416
FGRRES_00448	909	891	596	520
FGRRES_00449	1357	1496	903	801
FGRRES_00450	6933	7000	11237	12039
FGRRES_15742	50	33	20	16
FGRRES_00452	2642	2505	1926	1635
FGRRES_00453	907	883	138	132
FGRRES_15743	130	141	371	350
FGRRES_00455	3257	2856	4696	4490
FGRRES_00456	369	272	307	216
FGRRES_00457	1089	1067	177	203
FGRRES_00458	351	326	201	184
FGRRES_00459	1145	1181	1047	947
FGRRES_00460	1481	1209	968	737
FGRRES_00461	528	557	283	206
FGRRES_00462	232	183	142	107
FGRRES_00463	1173	1106	934	771
FGRRES_11768	4	3	7	3
FGRRES_00464	1316	1317	909	915
FGRRES_00465	214	208	123	117
FGRRES_00466	216	163	119	99
FGRRES_00467	799	719	458	437
FGRRES_00468	319	346	159	155
FGRRES_00469	5585	6067	5122	5441
FGRRES_11769	3	2	3	4
FGRRES_00470	556	483	428	388
FGRRES_00471	3961	4110	2535	2286
FGRRES_00472	2949	3001	2761	2637
FGRRES_11770	160	136	110	107
FGRRES_17601	8	5	9	8
FGRRES_15745	616	562	423	374
FGRRES_00474	323	286	144	129
FGRRES_00475	1036	980	454	450
FGRRES_00476	553	531	472	483
FGRRES_00477	820	760	483	364
FGRRES_00478_M	711	660	260	276
FGRRES_00479	1	2	0	1
FGRRES_00480	282	236	134	94
FGRRES_00481	123	99	55	54
FGRRES_00482	185	154	232	164
FGRRES_20013	0	0	4	9
FGRRES_00483	897	927	5057	5063
FGRRES_00484_M	47	46	37	20
FGRRES_00485	802	780	178	126
FGRRES_00486	364	360	164	154
FGRRES_00487	68	66	53	45
FGRRES_15746	294	270	407	407
FGRRES_00489	6728	6979	6886	6860
FGRRES_00490	577	620	448	436
FGRRES_00491	4209	4711	2268	2066
FGRRES_00492	16217	16014	36818	34578
FGRRES_11772_M	18	15	15	14
FGRRES_00493	690	697	1232	1076
FGRRES_00494	473	494	531	413
FGRRES_00495	340	297	190	126
FGRRES_00496	5004	5537	2650	2392
FGRRES_11773	167	124	264	192
FGRRES_00497	3655	3587	2926	2664
FGRRES_15000	256	211	153	121
FGRRES_00499	948	1003	583	547
FGRRES_00500	5014	5517	3238	2965
FGRRES_00501	132	132	47	46
FGRRES_00502	2837	2524	2287	1806
FGRRES_00503	348	360	411	344
FGRRES_00504	448	492	234	270
FGRRES_00505	489	525	365	319
FGRRES_00506	154	168	95	86
FGRRES_00507	546	541	320	276
FGRRES_00508	493	458	209	191
FGRRES_00509	1826	1748	1101	920
FGRRES_00510	593	599	443	388
FGRRES_00511	701	635	442	342
FGRRES_00512	1444	1236	856	769
FGRRES_00513	169	151	104	72
FGRRES_00514	543	559	294	302
FGRRES_00515	1646	1618	847	942
FGRRES_11774	19	11	7	6
FGRRES_11775	0	1	1	0
FGRRES_00516	5	3	5	1
FGRRES_00517	323	285	622	582
FGRRES_00518_M	963	1007	630	634
FGRRES_00519	792	728	521	344
FGRRES_20014	0	0	0	0
FGRRES_00520	1292	1296	1111	966
FGRRES_00521	424	320	275	190
FGRRES_00522	232	251	221	226
FGRRES_00523	12431	11872	11228	9654
FGRRES_15070	9	9	5	4
FGRRES_20015	174	156	234	237
FGRRES_00524	5058	5252	3678	3431
FGRRES_00525	1304	1099	1186	1098
FGRRES_00526	257	229	250	194
FGRRES_15747	758	634	1733	1702
FGRRES_11776	265	236	809	636
FGRRES_15749	1358	1181	3703	3577
FGRRES_00528_M	936	880	602	493
FGRRES_00529	862	934	711	822
FGRRES_00530	612	649	412	431
FGRRES_00531	22612	22886	21592	19908
FGRRES_11778	36	29	49	42
FGRRES_15750	14326	13251	18919	18030
FGRRES_15751	321	232	362	308
FGRRES_00534	1529	1336	1009	903
FGRRES_00535	35	34	20	17
FGRRES_00536	1988	1656	1583	1347
FGRRES_00537	427	406	598	593
FGRRES_00538	1101	1198	396	338
FGRRES_00539	39	43	34	28
FGRRES_00540	57	49	55	56
FGRRES_15071	40	55	20	29
FGRRES_00541	275	243	178	134
FGRRES_00542	47	47	32	16
FGRRES_00543	619	658	571	506
FGRRES_15752	351	352	260	191
FGRRES_00545	936	842	584	527
FGRRES_11779_M	11	8	8	8
FGRRES_00546	483	528	312	294
FGRRES_11780	7	1	5	2
FGRRES_11781_M	2401	2432	1498	1324
FGRRES_17603_M	1095	994	912	765
FGRRES_00549	1334	1346	765	723
FGRRES_00550	759	698	411	309
FGRRES_00551	1441	1237	1511	1192
FGRRES_00552	1245	1168	679	631
FGRRES_15072	0	1	4	2
